url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/20081708,"""Angiolillo, M. and Di Lorenzo, B. and Bo, M. and Fortibuoni, T. and Canese, S. and Cau, Al and Bavestrello, G. and Tunesi, L. and Toma, M.""",3,3,7,7,3,3,7,7
https://zenodo.org/records/20081694,"""Khojanov Gafur Gayratbayevich""",9,8,16,16,9,8,16,16
https://zenodo.org/records/20081692,"""Roʻziqulov, SH.M. and Odilbekova, Gulsanamxon""",6,5,6,6,6,5,6,6
https://zenodo.org/records/20081712,"""LifeWatch ERIC""",8,7,8,8,8,7,8,8
https://zenodo.org/records/20074109,"""Anonymous, Anonymous""",11,10,15,9,11,10,9,15
https://zenodo.org/records/20081603,"""Angelidou, Margarita""",61,49,64,46,61,49,46,64
https://zenodo.org/records/20081683,"""Usai, Luigi""",1,1,9,9,1,1,9,9
https://zenodo.org/records/20081689,"""Утамбетова А.Ж.""",4,4,9,9,4,4,9,9
https://zenodo.org/records/20081605,"""Kanchan Haresh Kedari""",7,7,32,31,7,7,31,32
https://zenodo.org/records/20081557,"""Xu, Antao and Just, Kira and Stohl, Jonathan and Frank, Norbert""",9,9,28,24,8,8,13,14
https://zenodo.org/records/20081670,"""Miss Sunmathi V and Dr. Sreeja S""",2,2,11,10,2,2,10,11
https://zenodo.org/records/18306943,"""Michailidis, Andriana""",7,7,11,7,7,7,7,11
https://zenodo.org/records/20081431,"""Kihm, Alain""",5,4,8,8,5,4,8,8
https://zenodo.org/records/20081651,"""Turg'unova Shaxnoza Tursunovna""",7,6,8,7,7,6,7,8
https://zenodo.org/records/20081659,"""Тлеуниязова Г.Б.""",4,4,8,8,4,4,8,8
https://zenodo.org/records/20081639,"""Barry, David""",19,18,19,19,16,15,11,11
https://zenodo.org/records/20081655,"""Shavkatova, Gulidabonu""",6,5,6,6,6,5,6,6
https://zenodo.org/records/20081657,"""Tecnológico Nacional de México""",7,5,7,6,7,5,6,7
https://zenodo.org/records/20081586,"""Moiroux, Nicolas""",7,4,7,6,7,4,6,7
https://zenodo.org/records/20081636,"""HUANG, SHAO CHI""",1,1,7,5,1,1,5,7
https://zenodo.org/records/20081630,"""Narra Anjali, Sandela Purnananda, Rachuti Rithvika and Guide: Mrs. J. Jyotsna""",6,5,6,6,6,5,6,6
https://zenodo.org/records/20081208,"""Vagnoni, Simone and Rodriguez-Doncel, Victor and Palmirani, Monica""",6,6,15,12,6,6,12,15
https://zenodo.org/records/20081551,"""Van Meerbeeck, Damien and Lequen, Arnaud and Pesant, Gilles and Seipp, Jendrik""",4,4,26,20,4,4,20,26
https://zenodo.org/records/20081599,"""Oteniyazova X.E.""",5,5,10,10,5,5,10,10
