url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/17541532,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Haase, Robert""",239,169,250,231,239,169,231,250
https://zenodo.org/records/17478160,"""Haase, Robert""",7,3,40,33,7,3,33,40
https://zenodo.org/records/17422917,"""Haase, Robert""",218,161,140,133,218,161,133,140
https://zenodo.org/records/17240205,"""Umlauft, Josefine""",200,190,60,52,200,190,52,60
https://zenodo.org/records/17203260,"""Haase, Robert""",305,251,120,110,183,152,84,91
https://zenodo.org/records/17186869,"""Haase, Robert""",306,250,315,306,220,181,218,224
https://zenodo.org/records/17158770,"""Schott, Philipp and Wolf, Gregor and Welz, Oliver""",12,12,158,149,12,12,149,158
https://zenodo.org/records/17158643,"""Welz, Oliver""",128,88,154,144,128,88,144,154
https://zenodo.org/records/17130780,"""Berger, Mike and Täschner, Matthias and Voigt, Pia""",155,138,141,134,155,138,134,141
https://zenodo.org/records/17116758,"""Haase, Robert""",386,334,787,757,386,334,757,787
https://zenodo.org/records/17093197,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Götze, Luisa""",357,298,401,386,357,298,386,401
https://zenodo.org/records/17102027,"""Haase, Robert""",226,144,163,150,226,144,150,163
https://zenodo.org/records/17085991,"""Haase, Robert""",693,548,704,657,464,354,515,561
https://zenodo.org/records/17053832,"""Haase, Robert""",212,134,137,130,212,134,130,137
https://zenodo.org/records/17017890,"""Haase, Robert""",94,78,38,35,94,78,35,38
https://zenodo.org/records/16894343,"""Haase, Robert""",88,61,84,73,88,61,73,84
https://zenodo.org/records/15858127,"""Haase, Robert""",9703,9083,1619,1490,2354,2159,677,772
https://zenodo.org/records/15805268,"""Philipp, Schott and Gregor, Wolf and Oliver, Welz""",102,102,194,179,101,101,176,188
https://zenodo.org/records/15805148,"""Center for Scalable Data Analytics and Artificial Intelligence and Oliver, Welz""",229,203,141,128,229,203,128,141
https://zenodo.org/records/15735577,"""Haase, Robert""",642,460,774,690,642,460,690,774
https://zenodo.org/records/15706181,"""Haase, Robert""",533,458,255,240,353,292,184,195
https://zenodo.org/records/15699459,"""Haase, Robert""",558,493,432,419,419,370,288,296
https://zenodo.org/records/15654889,"""Taeschner, Matthias and Haase, Robert""",289,240,251,240,289,240,240,251
https://zenodo.org/records/15646539,"""Haase, Robert""",374,291,225,213,339,258,190,201
https://zenodo.org/records/15516022,"""Haase, Robert""",1372,1271,310,292,976,896,257,273
https://zenodo.org/records/17669681,"""Haase, Robert""",121,106,163,150,121,106,150,163
https://zenodo.org/records/17163932,"""Achkar, Pierre and Gollub, Tim and Potthast, Martin""",188,178,474,427,188,178,427,474
https://zenodo.org/records/16890132,"""Schröder, Christopher and Müller, Lydia and Niekler, Andreas and Potthast, Martin""",544,538,3182,3053,43,41,583,620
https://zenodo.org/records/15347992,"""Heineking, Sebastian and Zelch, Ines and Potthast, Martin and Hagen, Matthias""",1754,1721,1349,1256,624,622,467,495
https://zenodo.org/records/15270283,"""Heineking, Sebastian and Zelch, Ines and Bevendorff, Janek and Stein, Benno and Hagen, Matthias and Potthast, Martin""",3222,3137,2176,1803,1730,1726,656,909
https://zenodo.org/records/13860524,"""Gienapp, Lukas and Potthast, Martin and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",5027,3915,847,816,507,503,206,214
https://zenodo.org/records/11203881,"""Deckers, Niklas and Peters, Julia and Potthast, Martin""",90,84,505,465,62,56,306,330
https://zenodo.org/records/10628882,"""Akiki, Christopher and Barschel, Hanno and Elstner, Theresa and Fleisch, Till and Franke, Johannes and Fröbe, Maik and Gienapp, Lukas and Gründel, Marlene and Hagen, Matthias and Kucera, Paul and Marschner, Paul and Niederhausen, Tim and Potthast, Martin and Reimer, Jan Heinrich and Scells, Harrisen and Stein, Benno and Weber, Malte and Wild, Dominic""",31430,22424,114,107,31430,22424,107,114
https://zenodo.org/records/10628640,"""Scells, Harrisen and Elstner, Theresa and Fröbe, Maik and Akiki, Christopher and Gienapp, Lukas and Reimer, Jan Heinrich and Hagen, Matthias and Potthast, Martin""",13333,6017,168,165,13333,6017,165,168
https://zenodo.org/records/10036479,"""Wolska, Magdalena and Wiegmann, Matti and Schröder, Christopher and Borchardt, Ole and Stein, Benno and Potthast, Martin""",90,83,460,448,90,83,448,460
https://zenodo.org/records/8383863,"""Matti Wiegmann and Magdalena Wolska and Christopher Schröder and Ole Borchardt and Benno Stein and Martin Potthast""",337,209,1220,1007,45,44,275,305
https://zenodo.org/records/7976807,"""Wiegmann and Wolska and Schröder and Borchardt and Stein and Potthast""",153,128,613,554,151,126,548,607
https://zenodo.org/records/7525482,"""Niklas Deckers and Maik Fröbe and Johannes Kiesel and Gianluca Pandolfo and Christopher Schröder and Benno Stein and Martin Potthast""",222,189,183,172,175,150,116,122
https://zenodo.org/records/6873575,"""Kiesel, Johannes and Potthast, Martin and Stein, Benno""",7219,5715,1348,1279,6042,4631,724,776
https://zenodo.org/records/6873564,"""Potthast, Martin and Gienapp, Lukas and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",5259,3735,1185,1115,485,442,622,670
https://zenodo.org/records/6425595,"""Matti Wiegmann and Michael Vöslke and Martin Potthast and Benno Stein""",62,54,533,517,58,51,513,528
https://zenodo.org/records/5575320,"""Gienapp, Lukas and Kircheis, Wolfgang and Sievers, Bjarne and Stein, Benno and Potthast, Martin""",0,0,341,307,0,0,307,341
https://zenodo.org/records/5575285,"""Gienapp, Lukas and Kircheis, Wolfgang and Sievers, Bjarne and Stein, Benno and Potthast, Martin""",453,328,1070,987,453,328,987,1070
https://zenodo.org/records/5495793,"""Erik Körner and Ahmad Dawar Hakimi and Gerhard Heyer and Martin Potthast""",47,42,448,427,47,42,426,447
https://zenodo.org/records/5380989,"""Gregor Wiedemann and Erik Körner and Ahmad Dawar Hakimi and Gerhard Heyer and Martin Potthast""",167,159,457,425,167,159,425,457
https://zenodo.org/records/5282635,"""Ahmad Dawar Hakimi and Erik Körner and Gregor Wiedemann and Gerhard Heyer and Martin Potthast""",84,82,461,432,83,81,430,459
https://zenodo.org/records/4108196,"""Lars Meyer and Johannes Kiesel and Martin Potthast and Benno Stein""",155,145,281,264,155,145,264,281
https://zenodo.org/records/4064019,"""Kiesel, Johannes and Potthast, Martin and Hagen, Matthias and Kneist, Florian and Stein, Benno""",821546,406466,2862,2666,8776,3577,980,1072
https://zenodo.org/records/3766985,"""Janek Bevendorff and Khalid Al-Khatib and Martin Potthast and Benno Stein""",933,470,1931,1609,933,470,1606,1928
https://zenodo.org/records/3653834,"""Chen ,Wei-Fan and Syed, Shahbaz and Potthast, Martin and Hagen, Matthias and Stein, Benno""",3063,666,1377,1259,3057,662,1252,1370
https://zenodo.org/records/7520777,"""Mailach, Alina and Siegmund, Norbert""",31,31,346,337,31,31,337,346
https://zenodo.org/records/7745740,"""Sebastian Simon""",61,61,288,281,52,52,256,261
