url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/17541532,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Haase, Robert""",228,158,201,183,228,158,183,201
https://zenodo.org/records/17478160,"""Haase, Robert""",6,2,32,25,6,2,25,32
https://zenodo.org/records/17422917,"""Haase, Robert""",206,149,124,117,206,149,117,124
https://zenodo.org/records/17240205,"""Umlauft, Josefine""",135,125,42,36,135,125,36,42
https://zenodo.org/records/17203260,"""Haase, Robert""",293,239,109,99,174,143,75,82
https://zenodo.org/records/17186869,"""Haase, Robert""",287,231,267,258,202,163,171,177
https://zenodo.org/records/17158770,"""Schott, Philipp and Wolf, Gregor and Welz, Oliver""",11,11,143,134,11,11,134,143
https://zenodo.org/records/17158643,"""Welz, Oliver""",121,82,139,129,121,82,129,139
https://zenodo.org/records/17130780,"""Berger, Mike and Täschner, Matthias and Voigt, Pia""",152,135,137,130,152,135,130,137
https://zenodo.org/records/17116758,"""Haase, Robert""",381,329,740,710,381,329,710,740
https://zenodo.org/records/17093197,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Götze, Luisa""",336,278,379,365,336,278,365,379
https://zenodo.org/records/17102027,"""Haase, Robert""",224,142,159,146,224,142,146,159
https://zenodo.org/records/17085991,"""Haase, Robert""",665,520,631,586,452,342,476,520
https://zenodo.org/records/17053832,"""Haase, Robert""",201,124,123,117,201,124,117,123
https://zenodo.org/records/17017890,"""Haase, Robert""",87,71,34,31,87,71,31,34
https://zenodo.org/records/16894343,"""Haase, Robert""",87,60,83,72,87,60,72,83
https://zenodo.org/records/15858127,"""Haase, Robert""",9159,8547,1411,1283,2158,1970,609,703
https://zenodo.org/records/15805268,"""Philipp, Schott and Gregor, Wolf and Oliver, Welz""",97,97,179,164,96,96,161,173
https://zenodo.org/records/15805148,"""Center for Scalable Data Analytics and Artificial Intelligence and Oliver, Welz""",221,196,137,124,221,196,124,137
https://zenodo.org/records/15735577,"""Haase, Robert""",635,453,738,654,635,453,654,738
https://zenodo.org/records/15706181,"""Haase, Robert""",518,443,224,209,343,282,155,166
https://zenodo.org/records/15699459,"""Haase, Robert""",503,438,392,380,371,322,253,260
https://zenodo.org/records/15654889,"""Taeschner, Matthias and Haase, Robert""",275,228,217,206,275,228,206,217
https://zenodo.org/records/15646539,"""Haase, Robert""",369,286,198,186,335,254,164,175
https://zenodo.org/records/15516022,"""Haase, Robert""",1298,1207,264,248,914,844,216,230
https://zenodo.org/records/17669681,"""Haase, Robert""",109,98,131,119,109,98,119,131
https://zenodo.org/records/17163932,"""Anonymous""",184,174,430,389,184,174,389,430
