url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/17541532,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Haase, Robert""",139,81,100,87,139,81,87,100
https://zenodo.org/records/17478160,"""Haase, Robert""",6,2,25,18,6,2,18,25
https://zenodo.org/records/17422917,"""Haase, Robert""",194,138,115,108,194,138,108,115
https://zenodo.org/records/17240205,"""Umlauft, Josefine""",122,112,26,26,122,112,26,26
https://zenodo.org/records/17203260,"""Haase, Robert""",289,235,107,97,170,139,73,80
https://zenodo.org/records/17186869,"""Haase, Robert""",239,191,212,208,157,126,122,123
https://zenodo.org/records/17158770,"""Schott, Philipp and Wolf, Gregor and Welz, Oliver""",11,11,125,116,11,11,116,125
https://zenodo.org/records/17158643,"""Welz, Oliver""",113,77,122,114,113,77,114,122
https://zenodo.org/records/17130780,"""Berger, Mike and Täschner, Matthias and Voigt, Pia""",148,131,136,129,148,131,129,136
https://zenodo.org/records/17116758,"""Haase, Robert""",365,317,717,691,365,317,691,717
https://zenodo.org/records/17093197,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Götze, Luisa""",306,249,365,351,306,249,351,365
https://zenodo.org/records/17102027,"""Haase, Robert""",218,136,154,141,218,136,141,154
https://zenodo.org/records/17085991,"""Haase, Robert""",636,492,606,561,429,320,459,503
https://zenodo.org/records/17053832,"""Haase, Robert""",199,122,123,117,199,122,117,123
https://zenodo.org/records/17017890,"""Haase, Robert""",81,65,33,30,81,65,30,33
https://zenodo.org/records/16894343,"""Haase, Robert""",85,58,82,71,85,58,71,82
https://zenodo.org/records/15858127,"""Haase, Robert""",8621,8029,1341,1225,1988,1811,585,674
https://zenodo.org/records/15805268,"""Philipp, Schott and Gregor, Wolf and Oliver, Welz""",67,67,156,143,66,66,140,150
https://zenodo.org/records/15805148,"""Center for Scalable Data Analytics and Artificial Intelligence and Oliver, Welz""",187,162,128,115,187,162,115,128
https://zenodo.org/records/15735577,"""Haase, Robert""",615,435,728,645,615,435,645,728
https://zenodo.org/records/15706181,"""Haase, Robert""",499,425,213,198,332,272,148,159
https://zenodo.org/records/15699459,"""Haase, Robert""",458,395,375,364,328,281,238,244
https://zenodo.org/records/15654889,"""Taeschner, Matthias and Haase, Robert""",256,209,202,192,256,209,192,202
https://zenodo.org/records/15646539,"""Haase, Robert""",362,280,197,185,331,251,163,174
https://zenodo.org/records/15516022,"""Haase, Robert""",1270,1180,257,242,892,823,210,223
https://zenodo.org/records/17669681,"""Haase, Robert""",82,74,114,103,82,74,103,114
https://zenodo.org/records/17163932,"""Achkar, Pierre and Gollub, Tim and Potthast, Martin""",167,162,401,371,167,162,371,401
https://zenodo.org/records/16890132,"""Schröder, Christopher and Müller, Lydia and Niekler, Andreas and Potthast, Martin""",501,495,2483,2354,36,34,323,360
https://zenodo.org/records/15347992,"""Heineking, Sebastian and Zelch, Ines and Potthast, Martin and Hagen, Matthias""",1511,1479,886,814,547,545,273,292
https://zenodo.org/records/15270283,"""Heineking, Sebastian and Zelch, Ines and Bevendorff, Janek and Stein, Benno and Hagen, Matthias and Potthast, Martin""",2489,2405,1965,1597,1270,1266,560,811
https://zenodo.org/records/13860524,"""Gienapp, Lukas and Potthast, Martin and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",4684,3575,717,686,382,379,142,150
https://zenodo.org/records/11203881,"""Deckers, Niklas and Peters, Julia and Potthast, Martin""",85,79,416,377,60,54,247,270
https://zenodo.org/records/10628882,"""Akiki, Christopher and Barschel, Hanno and Elstner, Theresa and Fleisch, Till and Franke, Johannes and Fröbe, Maik and Gienapp, Lukas and Gründel, Marlene and Hagen, Matthias and Kucera, Paul and Marschner, Paul and Niederhausen, Tim and Potthast, Martin and Reimer, Jan Heinrich and Scells, Harrisen and Stein, Benno and Weber, Malte and Wild, Dominic""",31348,22358,83,76,31348,22358,76,83
https://zenodo.org/records/10628640,"""Scells, Harrisen and Elstner, Theresa and Fröbe, Maik and Akiki, Christopher and Gienapp, Lukas and Reimer, Jan Heinrich and Hagen, Matthias and Potthast, Martin""",13287,5975,62,59,13287,5975,59,62
https://zenodo.org/records/10036479,"""Wolska, Magdalena and Wiegmann, Matti and Schröder, Christopher and Borchardt, Ole and Stein, Benno and Potthast, Martin""",70,63,408,398,70,63,398,408
https://zenodo.org/records/8383863,"""Matti Wiegmann and Magdalena Wolska and Christopher Schröder and Ole Borchardt and Benno Stein and Martin Potthast""",321,193,1127,915,44,43,236,265
https://zenodo.org/records/7976807,"""Wiegmann and Wolska and Schröder and Borchardt and Stein and Potthast""",133,108,591,533,131,106,527,585
https://zenodo.org/records/7525482,"""Niklas Deckers and Maik Fröbe and Johannes Kiesel and Gianluca Pandolfo and Christopher Schröder and Benno Stein and Martin Potthast""",215,182,170,159,172,147,106,112
https://zenodo.org/records/6873575,"""Kiesel, Johannes and Potthast, Martin and Stein, Benno""",6708,5227,1236,1169,5751,4361,630,680
https://zenodo.org/records/6873564,"""Potthast, Martin and Gienapp, Lukas and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",5027,3504,1077,1007,366,323,557,605
https://zenodo.org/records/6425595,"""Matti Wiegmann and Michael Vöslke and Martin Potthast and Benno Stein""",55,47,493,477,51,44,473,488
https://zenodo.org/records/5575320,"""Gienapp, Lukas and Kircheis, Wolfgang and Sievers, Bjarne and Stein, Benno and Potthast, Martin""",0,0,289,255,0,0,255,289
https://zenodo.org/records/5575285,"""Gienapp, Lukas and Kircheis, Wolfgang and Sievers, Bjarne and Stein, Benno and Potthast, Martin""",428,303,1019,936,428,303,936,1019
https://zenodo.org/records/5495793,"""Erik Körner and Ahmad Dawar Hakimi and Gerhard Heyer and Martin Potthast""",41,36,400,379,41,36,378,399
https://zenodo.org/records/5380989,"""Gregor Wiedemann and Erik Körner and Ahmad Dawar Hakimi and Gerhard Heyer and Martin Potthast""",139,131,406,374,139,131,374,406
https://zenodo.org/records/5282635,"""Ahmad Dawar Hakimi and Erik Körner and Gregor Wiedemann and Gerhard Heyer and Martin Potthast""",65,63,422,393,64,62,391,420
https://zenodo.org/records/4108196,"""Lars Meyer and Johannes Kiesel and Martin Potthast and Benno Stein""",111,101,272,255,111,101,255,272
https://zenodo.org/records/4064019,"""Kiesel, Johannes and Potthast, Martin and Hagen, Matthias and Kneist, Florian and Stein, Benno""",820643,405656,2715,2519,8255,3057,901,993
https://zenodo.org/records/3766985,"""Janek Bevendorff and Khalid Al-Khatib and Martin Potthast and Benno Stein""",912,451,1831,1525,912,451,1522,1828
https://zenodo.org/records/3653834,"""Chen ,Wei-Fan and Syed, Shahbaz and Potthast, Martin and Hagen, Matthias and Stein, Benno""",3016,620,1323,1207,3010,616,1200,1316
https://zenodo.org/records/7520777,"""Mailach, Alina and Siegmund, Norbert""",25,25,319,310,25,25,310,319
https://zenodo.org/records/7745740,"""Sebastian Simon""",45,45,244,237,37,37,215,220
