url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/18953220,"""Schaare, H. Lina and Hörner, Tanja and Alberts, Teresa and Backe, Christian and Betancort Cabrera, Noemi and Bohnebeck, Uta and Brannath, Werner and Büker, Sarah and Charulatha, Sree and de Vogel, Susanne and Drechsler, Rolf and Düpont, Nils and Felden, Janine and Franz, Simone and Fritzsche, Franziska and Frohne, Katharina and Fuchs, Nele and Gies, Philipp and Glasenapp, Yvana and Glöckner, Frank Oliver and Hänzelmann, Sonja and Harfst, Stefan and Hemmelskamp-Pfeiffer, Birte and Hitz, Marc-Phillip and Hollstein, Betina and Immoor, Sebastian and Junctorius, Lina and Kloep, Stephan and Koppe, Roland and Kuhlmann, Lea and Movahedifar, Maryam and Mozygemba, Kati and Mueller, Claudia Margrit and Nolte, Annika and Nölte, Manfred and Nozik, Alexandra and Opätz, Finn and Petersmann, Astrid and Pigeot, Iris and Riefler, Norbert and Scharpenberg, Martin and Schmitt, Tina and Seemann, Wilken and Spiegler, Andreas and Steinmann, Lena and Strodthoff, Nils and Swirski, Sebastian and Thiemann, Volker and Uppenkamp, Stefan and Vehlken, Sebastian and Wilken, Marc and Wulff, Antje and Bibliotheks- und Informationssystem and Carl von Ossietzky Universität Oldenburg and Core Facility Biobank Structure and DATA Team, Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung and Gesellschaft für Biologische Daten e.V. and Göttingen Academy of Sciences and Humanities in Lower Saxony and Hochschule Bremen and Koordinierungszentrum für Klinische Studien (KKS Oldenburg) and Landesbibliothek Oldenburg and PANGAEA, Data Publisher for Earth & Environmental Science and Staats- und Universitätsbibliothek Bremen and University of Bremen""",89,64,508,477,89,64,477,508
https://zenodo.org/records/18712651,"""Fichtmueller, David and Güntsch, Anton and Sauerland, Kristin and Möller, Lars and Luther, Katja and Ernst, Marcus""",24,23,68,68,24,23,68,68
https://zenodo.org/records/18711701,"""Möller, Lars and Ernst, Marcus and Fichtmueller, David and Schindler, Uwe and Pfaff, Claas-Thido and Seifert, Stefan and Fürstenau, Cornelia and Reimer, Lorenz Christian and Witte, Julius F. and Ebeling, Christian""",45,42,73,71,45,42,71,73
https://zenodo.org/records/18694155,"""Ebert, Barbara and Ewert, Frank and Förstner, Konrad U. and Glöckner, Frank Oliver and McHardy, Alice Carolyn and von Rummel, Philipp and von Suchodoletz, Dirk and Weidtkamp-Peters, Stefanie and Ebeling, Mary-Ann and Engel, Judith and Hoffmann, Carsten and Keller, Christin and Lange, Matthias and Magel, Maja and Moore, Josh and Mühlhaus, Timo and Scholz, Uwe and Specka, Xenia and thor Straten, Mattis""",305,261,613,555,305,261,555,613
https://zenodo.org/records/17991208,"""Sauerland, Kristin and Fichtmueller, David and Güntsch, Anton""",22,22,52,52,22,22,52,52
https://zenodo.org/records/17628099,"""Singson, Lea Sophie""",67,57,131,117,67,57,117,131
https://zenodo.org/records/17941146,"""Placke, Manja and Hassenrück, Christiane and Feistel, Susanne and Jürgensmann, Susanne""",98,83,120,109,98,83,109,120
https://zenodo.org/records/17708536,"""Zurowietz, Martin and Stoye, Jens and Nattkemper, Tim W.""",52,47,67,63,52,47,63,67
https://zenodo.org/records/17350117,"""Schellenberger Costa, David""",1899,1767,689,611,534,506,194,206
https://zenodo.org/records/17623082,"""Nozik, Alexandra""",83,61,121,112,83,61,112,121
https://zenodo.org/records/17553558,"""Tschink, Daniel and Kostadinov, Ivaylo""",74,68,85,84,74,68,84,85
https://zenodo.org/records/17582795,"""Fischer, Marlen and Röder, Juliane and Signer, Johannes and Tschink, Daniel and Weibulat, Tanja and Brand, Ortrun""",30,29,148,141,30,29,141,148
https://zenodo.org/records/17549986,"""Jordan, Sabrina""",93,76,105,94,93,76,94,105
https://zenodo.org/records/17427595,"""Kostadinov, Ivaylo and Tschink, Daniel and Linares Gómez, Jimena""",393,326,420,397,166,136,143,157
https://zenodo.org/records/16893040,"""Melzer, Nina and Jahnel, Ricarda Elisabeth and Sarah, Fischer and Holetschek, Jörg""",96,72,117,111,96,72,111,117
https://zenodo.org/records/17303036,"""Scherer, Cédric""",399,358,460,430,105,102,178,197
https://zenodo.org/records/17223681,"""Hemmelskamp-Pfeiffer, Birte and George, Helen Clara and Opätz, Finn""",103,83,102,94,103,83,94,102
https://zenodo.org/records/17174275,"""Hemmelskamp-Pfeiffer, Birte and Gies, Philipp and Nozik, Alexandra and Opätz, Finn and Swirski, Sebastian""",86,73,154,144,86,73,144,154
https://zenodo.org/records/17141044,"""Kostadinov, Ivaylo""",73,60,132,127,73,60,127,132
https://zenodo.org/records/16992978,"""Hartman Scholz, Amber""",38,34,43,43,38,34,43,43
https://zenodo.org/records/16993168,"""Muñoz García, Melania""",132,125,168,166,132,125,166,168
https://zenodo.org/records/17020251,"""Röder, Juliane and Tschink, Daniel and Brand, Ortrun""",148,128,181,177,148,128,177,181
https://zenodo.org/records/16940033,"""Rieken, Marion and Hemmelskamp-Pfeiffer, Birte and Monien, Donata""",88,63,130,123,88,63,123,130
https://zenodo.org/records/16412325,"""Weibulat, Tanja Melanie and Triebel, Dagmar""",112,84,161,143,80,58,111,124
https://zenodo.org/records/15573465,"""Singson, Lea Sophie and Boße, Sophie""",2130,2012,105,98,2130,2012,98,105
https://zenodo.org/records/15641467,"""Röder, Juliane""",1168,949,1887,1805,340,280,369,382
https://zenodo.org/records/15630531,"""Meister, Maria and Steilen, Lena and Feser, Manuel""",121,93,182,168,121,93,168,182
https://zenodo.org/records/15594632,"""Röder, Juliane and Signer, Johannes""",22,22,171,160,22,22,160,171
https://zenodo.org/records/15585748,"""Röder, Juliane and Signer, Johannes and Scherreiks, Pascal and Figueiredo, Ludmilla and Kusch, Erik and Linares Gómez, Jimena and Müller, Wolfgang and Nozik, Alexandra and Schellenberger Costa, David and Scherer, Cédric and Schindler, Uwe and Tschink, Daniel""",955,630,862,763,955,630,763,862
https://zenodo.org/records/15174063,"""Engel, Judith and Linares, Jimena and Kostadinov, Ivaylo""",90,84,150,142,90,84,142,150
https://zenodo.org/records/15125477,"""Ebert, Barbara and Zurowietz, Martin""",174,154,191,181,174,154,181,191
https://zenodo.org/records/15165960,"""Rehfeld, Rica and Fischer, Sarah O.""",161,138,173,158,161,138,158,173
