url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/17541532,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Haase, Robert""",254,183,271,251,254,183,251,271
https://zenodo.org/records/17478160,"""Haase, Robert""",7,3,45,38,7,3,38,45
https://zenodo.org/records/17422917,"""Haase, Robert""",220,163,176,169,220,163,169,176
https://zenodo.org/records/17240205,"""Umlauft, Josefine""",225,215,69,61,225,215,61,69
https://zenodo.org/records/17203260,"""Haase, Robert""",341,281,163,146,207,170,118,132
https://zenodo.org/records/17186869,"""Haase, Robert""",319,260,357,348,233,191,260,266
https://zenodo.org/records/17158770,"""Schott, Philipp and Wolf, Gregor and Welz, Oliver""",13,13,166,157,13,13,157,166
https://zenodo.org/records/17158643,"""Welz, Oliver""",129,89,157,147,129,89,147,157
https://zenodo.org/records/17130780,"""Berger, Mike and Täschner, Matthias and Voigt, Pia""",156,139,144,137,156,139,137,144
https://zenodo.org/records/17116758,"""Haase, Robert""",396,343,793,763,396,343,763,793
https://zenodo.org/records/17093197,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Götze, Luisa""",372,310,412,396,372,310,396,412
https://zenodo.org/records/17102027,"""Haase, Robert""",228,146,166,153,228,146,153,166
https://zenodo.org/records/17085991,"""Haase, Robert""",716,570,727,678,474,363,528,576
https://zenodo.org/records/17053832,"""Haase, Robert""",217,139,169,162,217,139,162,169
https://zenodo.org/records/17017890,"""Haase, Robert""",94,78,38,35,94,78,35,38
https://zenodo.org/records/16894343,"""Haase, Robert""",89,62,86,75,89,62,75,86
https://zenodo.org/records/15858127,"""Haase, Robert""",10098,9474,1671,1540,2446,2249,691,787
https://zenodo.org/records/15805268,"""Philipp, Schott and Gregor, Wolf and Oliver, Welz""",110,108,205,189,109,107,186,199
https://zenodo.org/records/15805148,"""Center for Scalable Data Analytics and Artificial Intelligence and Oliver, Welz""",231,205,146,132,231,205,132,146
https://zenodo.org/records/15735577,"""Haase, Robert""",645,463,784,700,645,463,700,784
https://zenodo.org/records/15706181,"""Haase, Robert""",549,470,262,245,367,302,189,202
https://zenodo.org/records/15699459,"""Haase, Robert""",606,535,455,442,464,410,310,318
https://zenodo.org/records/15654889,"""Taeschner, Matthias and Haase, Robert""",294,245,259,248,294,245,248,259
https://zenodo.org/records/15646539,"""Haase, Robert""",381,297,229,217,346,264,194,205
https://zenodo.org/records/15516022,"""Haase, Robert""",1408,1304,326,307,1012,929,272,289
https://zenodo.org/records/17669681,"""Haase, Robert""",121,106,167,154,121,106,154,167
https://zenodo.org/records/17163932,"""Achkar, Pierre and Gollub, Tim and Potthast, Martin""",192,182,507,454,192,182,454,507
https://zenodo.org/records/16890132,"""Schröder, Christopher and Müller, Lydia and Niekler, Andreas and Potthast, Martin""",550,544,3239,3108,44,42,603,641
https://zenodo.org/records/15347992,"""Heineking, Sebastian and Zelch, Ines and Potthast, Martin and Hagen, Matthias""",1788,1755,1475,1368,630,628,544,586
https://zenodo.org/records/15270283,"""Heineking, Sebastian and Zelch, Ines and Bevendorff, Janek and Stein, Benno and Hagen, Matthias and Potthast, Martin""",3388,3303,2240,1867,1829,1825,683,936
https://zenodo.org/records/13860524,"""Gienapp, Lukas and Potthast, Martin and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",5115,4003,901,870,537,533,243,251
https://zenodo.org/records/11203881,"""Deckers, Niklas and Peters, Julia and Potthast, Martin""",90,84,508,468,62,56,307,331
https://zenodo.org/records/10628882,"""Akiki, Christopher and Barschel, Hanno and Elstner, Theresa and Fleisch, Till and Franke, Johannes and Fröbe, Maik and Gienapp, Lukas and Gründel, Marlene and Hagen, Matthias and Kucera, Paul and Marschner, Paul and Niederhausen, Tim and Potthast, Martin and Reimer, Jan Heinrich and Scells, Harrisen and Stein, Benno and Weber, Malte and Wild, Dominic""",31485,22479,118,111,31485,22479,111,118
https://zenodo.org/records/10628640,"""Scells, Harrisen and Elstner, Theresa and Fröbe, Maik and Akiki, Christopher and Gienapp, Lukas and Reimer, Jan Heinrich and Hagen, Matthias and Potthast, Martin""",13354,6037,173,170,13354,6037,170,173
https://zenodo.org/records/10036479,"""Wolska, Magdalena and Wiegmann, Matti and Schröder, Christopher and Borchardt, Ole and Stein, Benno and Potthast, Martin""",95,88,480,467,95,88,467,480
https://zenodo.org/records/8383863,"""Matti Wiegmann and Magdalena Wolska and Christopher Schröder and Ole Borchardt and Benno Stein and Martin Potthast""",342,213,1241,1028,47,45,279,309
https://zenodo.org/records/7976807,"""Wiegmann and Wolska and Schröder and Borchardt and Stein and Potthast""",153,128,616,557,151,126,551,610
