url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/18953220,"""Schaare, H. Lina and Hörner, Tanja and Alberts, Teresa and Backe, Christian and Betancort Cabrera, Noemi and Bohnebeck, Uta and Brannath, Werner and Büker, Sarah and Charulatha, Sree and de Vogel, Susanne and Drechsler, Rolf and Düpont, Nils and Felden, Janine and Franz, Simone and Fritzsche, Franziska and Frohne, Katharina and Fuchs, Nele and Gies, Philipp and Glasenapp, Yvana and Glöckner, Frank Oliver and Hänzelmann, Sonja and Harfst, Stefan and Hemmelskamp-Pfeiffer, Birte and Hitz, Marc-Phillip and Hollstein, Betina and Immoor, Sebastian and Junctorius, Lina and Kloep, Stephan and Koppe, Roland and Kuhlmann, Lea and Movahedifar, Maryam and Mozygemba, Kati and Mueller, Claudia Margrit and Nolte, Annika and Nölte, Manfred and Nozik, Alexandra and Opätz, Finn and Petersmann, Astrid and Pigeot, Iris and Riefler, Norbert and Scharpenberg, Martin and Schmitt, Tina and Seemann, Wilken and Spiegler, Andreas and Steinmann, Lena and Strodthoff, Nils and Swirski, Sebastian and Thiemann, Volker and Uppenkamp, Stefan and Vehlken, Sebastian and Wilken, Marc and Wulff, Antje and Bibliotheks- und Informationssystem and Carl von Ossietzky Universität Oldenburg and Core Facility Biobank Structure and DATA Team, Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung and Gesellschaft für Biologische Daten e.V. and Göttingen Academy of Sciences and Humanities in Lower Saxony and Hochschule Bremen and Koordinierungszentrum für Klinische Studien (KKS Oldenburg) and Landesbibliothek Oldenburg and PANGAEA, Data Publisher for Earth & Environmental Science and Staats- und Universitätsbibliothek Bremen and University of Bremen""",108,75,545,509,108,75,509,545
https://zenodo.org/records/18712651,"""Fichtmueller, David and Güntsch, Anton and Sauerland, Kristin and Möller, Lars and Luther, Katja and Ernst, Marcus""",31,29,84,84,31,29,84,84
https://zenodo.org/records/18711701,"""Möller, Lars and Ernst, Marcus and Fichtmueller, David and Schindler, Uwe and Pfaff, Claas-Thido and Seifert, Stefan and Fürstenau, Cornelia and Reimer, Lorenz Christian and Witte, Julius F. and Ebeling, Christian""",51,48,90,88,51,48,88,90
https://zenodo.org/records/18694155,"""Ebert, Barbara and Ewert, Frank and Förstner, Konrad U. and Glöckner, Frank Oliver and McHardy, Alice Carolyn and von Rummel, Philipp and von Suchodoletz, Dirk and Weidtkamp-Peters, Stefanie and Ebeling, Mary-Ann and Engel, Judith and Hoffmann, Carsten and Keller, Christin and Lange, Matthias and Magel, Maja and Moore, Josh and Mühlhaus, Timo and Scholz, Uwe and Specka, Xenia and thor Straten, Mattis""",326,278,700,639,326,278,639,700
https://zenodo.org/records/17991208,"""Sauerland, Kristin and Fichtmueller, David and Güntsch, Anton""",27,26,60,60,27,26,60,60
https://zenodo.org/records/17628099,"""Singson, Lea Sophie""",74,63,151,137,74,63,137,151
https://zenodo.org/records/17941146,"""Placke, Manja and Hassenrück, Christiane and Feistel, Susanne and Jürgensmann, Susanne""",109,94,141,130,109,94,130,141
https://zenodo.org/records/17708536,"""Zurowietz, Martin and Stoye, Jens and Nattkemper, Tim W.""",62,57,80,75,62,57,75,80
https://zenodo.org/records/17350117,"""Schellenberger Costa, David""",2110,1966,712,634,568,539,209,221
https://zenodo.org/records/17623082,"""Nozik, Alexandra""",92,70,147,137,92,70,137,147
https://zenodo.org/records/17553558,"""Tschink, Daniel and Kostadinov, Ivaylo""",82,76,99,98,82,76,98,99
https://zenodo.org/records/17582795,"""Fischer, Marlen and Röder, Juliane and Signer, Johannes and Tschink, Daniel and Weibulat, Tanja and Brand, Ortrun""",30,29,154,146,30,29,146,154
https://zenodo.org/records/17549986,"""Jordan, Sabrina""",97,80,118,107,97,80,107,118
https://zenodo.org/records/17427595,"""Kostadinov, Ivaylo and Tschink, Daniel and Linares Gómez, Jimena""",404,337,454,429,172,142,161,177
https://zenodo.org/records/16893040,"""Melzer, Nina and Jahnel, Ricarda Elisabeth and Sarah, Fischer and Holetschek, Jörg""",102,78,123,117,102,78,117,123
https://zenodo.org/records/17303036,"""Scherer, Cédric""",493,446,538,504,138,135,223,244
https://zenodo.org/records/17223681,"""Hemmelskamp-Pfeiffer, Birte and George, Helen Clara and Opätz, Finn""",114,94,120,112,114,94,112,120
https://zenodo.org/records/17174275,"""Hemmelskamp-Pfeiffer, Birte and Gies, Philipp and Nozik, Alexandra and Opätz, Finn and Swirski, Sebastian""",101,88,174,164,101,88,164,174
https://zenodo.org/records/17141044,"""Kostadinov, Ivaylo""",82,69,146,141,82,69,141,146
https://zenodo.org/records/16992978,"""Hartman Scholz, Amber""",40,36,45,45,40,36,45,45
https://zenodo.org/records/16993168,"""Muñoz García, Melania""",145,138,182,180,145,138,180,182
https://zenodo.org/records/17020251,"""Röder, Juliane and Tschink, Daniel and Brand, Ortrun""",161,141,195,191,161,141,191,195
https://zenodo.org/records/16940033,"""Rieken, Marion and Hemmelskamp-Pfeiffer, Birte and Monien, Donata""",104,79,150,143,104,79,143,150
https://zenodo.org/records/16412325,"""Weibulat, Tanja Melanie and Triebel, Dagmar""",129,101,180,162,93,71,123,136
https://zenodo.org/records/15573465,"""Singson, Lea Sophie and Boße, Sophie""",2717,2466,125,118,2717,2466,118,125
https://zenodo.org/records/15641467,"""Röder, Juliane""",1198,978,2035,1953,351,291,388,401
https://zenodo.org/records/15630531,"""Meister, Maria and Steilen, Lena and Feser, Manuel""",127,99,189,175,127,99,175,189
https://zenodo.org/records/15594632,"""Röder, Juliane and Signer, Johannes""",26,26,185,174,26,26,174,185
