url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/17541532,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Haase, Robert""",232,162,206,188,232,162,188,206
https://zenodo.org/records/17478160,"""Haase, Robert""",6,2,33,26,6,2,26,33
https://zenodo.org/records/17422917,"""Haase, Robert""",209,152,129,122,209,152,122,129
https://zenodo.org/records/17240205,"""Umlauft, Josefine""",165,155,46,40,165,155,40,46
https://zenodo.org/records/17203260,"""Haase, Robert""",301,247,112,102,179,148,77,84
https://zenodo.org/records/17186869,"""Haase, Robert""",292,236,274,265,206,167,177,183
https://zenodo.org/records/17158770,"""Schott, Philipp and Wolf, Gregor and Welz, Oliver""",11,11,147,138,11,11,138,147
https://zenodo.org/records/17158643,"""Welz, Oliver""",127,87,144,134,127,87,134,144
https://zenodo.org/records/17130780,"""Berger, Mike and Täschner, Matthias and Voigt, Pia""",155,138,140,133,155,138,133,140
https://zenodo.org/records/17116758,"""Haase, Robert""",384,332,745,715,384,332,715,745
https://zenodo.org/records/17093197,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Götze, Luisa""",338,280,380,366,338,280,366,380
https://zenodo.org/records/17102027,"""Haase, Robert""",225,143,160,147,225,143,147,160
https://zenodo.org/records/17085991,"""Haase, Robert""",669,524,636,591,454,344,478,522
https://zenodo.org/records/17053832,"""Haase, Robert""",204,127,125,119,204,127,119,125
https://zenodo.org/records/17017890,"""Haase, Robert""",88,72,35,32,88,72,32,35
https://zenodo.org/records/16894343,"""Haase, Robert""",88,61,84,73,88,61,73,84
https://zenodo.org/records/15858127,"""Haase, Robert""",9338,8725,1434,1306,2187,1998,613,707
https://zenodo.org/records/15805268,"""Philipp, Schott and Gregor, Wolf and Oliver, Welz""",98,98,184,169,97,97,166,178
https://zenodo.org/records/15805148,"""Center for Scalable Data Analytics and Artificial Intelligence and Oliver, Welz""",222,197,138,125,222,197,125,138
https://zenodo.org/records/15735577,"""Haase, Robert""",636,454,741,657,636,454,657,741
https://zenodo.org/records/15706181,"""Haase, Robert""",525,450,229,214,347,286,158,169
https://zenodo.org/records/15699459,"""Haase, Robert""",511,446,400,388,377,328,258,265
https://zenodo.org/records/15654889,"""Taeschner, Matthias and Haase, Robert""",277,230,219,208,277,230,208,219
https://zenodo.org/records/15646539,"""Haase, Robert""",371,288,200,188,336,255,165,176
https://zenodo.org/records/15516022,"""Haase, Robert""",1332,1233,271,255,940,862,221,235
https://zenodo.org/records/17669681,"""Haase, Robert""",117,102,134,121,117,102,121,134
https://zenodo.org/records/17163932,"""Anonymous""",185,175,433,392,185,175,392,433
https://zenodo.org/records/16890132,"""Schröder, Christopher and Müller, Lydia and Niekler, Andreas and Potthast, Martin""",515,509,2625,2496,38,36,350,387
https://zenodo.org/records/15347992,"""Heineking, Sebastian and Zelch, Ines and Potthast, Martin and Hagen, Matthias""",1587,1555,992,905,592,590,300,322
https://zenodo.org/records/15270283,"""Heineking, Sebastian and Zelch, Ines and Bevendorff, Janek and Stein, Benno and Hagen, Matthias and Potthast, Martin""",2732,2648,2057,1685,1470,1466,594,847
https://zenodo.org/records/13860524,"""Gienapp, Lukas and Potthast, Martin and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",4732,3620,754,723,387,383,166,174
https://zenodo.org/records/11203881,"""Deckers, Niklas and Peters, Julia and Potthast, Martin""",90,84,432,393,62,56,257,280
https://zenodo.org/records/10628882,"""Akiki, Christopher and Barschel, Hanno and Elstner, Theresa and Fleisch, Till and Franke, Johannes and Fröbe, Maik and Gienapp, Lukas and Gründel, Marlene and Hagen, Matthias and Kucera, Paul and Marschner, Paul and Niederhausen, Tim and Potthast, Martin and Reimer, Jan Heinrich and Scells, Harrisen and Stein, Benno and Weber, Malte and Wild, Dominic""",31382,22376,90,83,31382,22376,83,90
https://zenodo.org/records/10628640,"""Scells, Harrisen and Elstner, Theresa and Fröbe, Maik and Akiki, Christopher and Gienapp, Lukas and Reimer, Jan Heinrich and Hagen, Matthias and Potthast, Martin""",13303,5987,64,61,13303,5987,61,64
https://zenodo.org/records/10036479,"""Wolska, Magdalena and Wiegmann, Matti and Schröder, Christopher and Borchardt, Ole and Stein, Benno and Potthast, Martin""",79,72,427,415,79,72,415,427
https://zenodo.org/records/8383863,"""Matti Wiegmann and Magdalena Wolska and Christopher Schröder and Ole Borchardt and Benno Stein and Martin Potthast""",337,209,1165,952,45,44,249,279
https://zenodo.org/records/7976807,"""Wiegmann and Wolska and Schröder and Borchardt and Stein and Potthast""",144,119,600,542,142,117,536,594
https://zenodo.org/records/7525482,"""Niklas Deckers and Maik Fröbe and Johannes Kiesel and Gianluca Pandolfo and Christopher Schröder and Benno Stein and Martin Potthast""",220,187,176,165,173,148,110,116
https://zenodo.org/records/6873575,"""Kiesel, Johannes and Potthast, Martin and Stein, Benno""",6977,5473,1268,1199,5982,4571,652,704
https://zenodo.org/records/6873564,"""Potthast, Martin and Gienapp, Lukas and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",5073,3550,1099,1029,392,349,569,617
https://zenodo.org/records/6425595,"""Matti Wiegmann and Michael Vöslke and Martin Potthast and Benno Stein""",61,53,503,487,57,50,483,498
https://zenodo.org/records/5575320,"""Gienapp, Lukas and Kircheis, Wolfgang and Sievers, Bjarne and Stein, Benno and Potthast, Martin""",0,0,297,263,0,0,263,297
https://zenodo.org/records/5575285,"""Gienapp, Lukas and Kircheis, Wolfgang and Sievers, Bjarne and Stein, Benno and Potthast, Martin""",431,306,1041,958,431,306,958,1041
https://zenodo.org/records/5495793,"""Erik Körner and Ahmad Dawar Hakimi and Gerhard Heyer and Martin Potthast""",46,41,421,400,46,41,399,420
https://zenodo.org/records/5380989,"""Gregor Wiedemann and Erik Körner and Ahmad Dawar Hakimi and Gerhard Heyer and Martin Potthast""",167,159,426,394,167,159,394,426
https://zenodo.org/records/5282635,"""Ahmad Dawar Hakimi and Erik Körner and Gregor Wiedemann and Gerhard Heyer and Martin Potthast""",66,64,431,402,65,63,400,429
https://zenodo.org/records/4108196,"""Lars Meyer and Johannes Kiesel and Martin Potthast and Benno Stein""",118,108,279,262,118,108,262,279
https://zenodo.org/records/4064019,"""Kiesel, Johannes and Potthast, Martin and Hagen, Matthias and Kneist, Florian and Stein, Benno""",821044,405964,2756,2560,8356,3157,918,1010
https://zenodo.org/records/3766985,"""Janek Bevendorff and Khalid Al-Khatib and Martin Potthast and Benno Stein""",933,470,1888,1570,933,470,1567,1885
https://zenodo.org/records/3653834,"""Chen ,Wei-Fan and Syed, Shahbaz and Potthast, Martin and Hagen, Matthias and Stein, Benno""",3061,664,1353,1235,3055,660,1228,1346
https://zenodo.org/records/7520777,"""Mailach, Alina and Siegmund, Norbert""",26,26,322,313,26,26,313,322
https://zenodo.org/records/7745740,"""Sebastian Simon""",56,56,258,251,47,47,227,232
