url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/18953220,"""Schaare, H. Lina and Hörner, Tanja and Alberts, Teresa and Backe, Christian and Betancort Cabrera, Noemi and Bohnebeck, Uta and Brannath, Werner and Büker, Sarah and Charulatha, Sree and de Vogel, Susanne and Drechsler, Rolf and Düpont, Nils and Felden, Janine and Franz, Simone and Fritzsche, Franziska and Frohne, Katharina and Fuchs, Nele and Gies, Philipp and Glasenapp, Yvana and Glöckner, Frank Oliver and Hänzelmann, Sonja and Harfst, Stefan and Hemmelskamp-Pfeiffer, Birte and Hitz, Marc-Phillip and Hollstein, Betina and Immoor, Sebastian and Junctorius, Lina and Kloep, Stephan and Koppe, Roland and Kuhlmann, Lea and Movahedifar, Maryam and Mozygemba, Kati and Mueller, Claudia Margrit and Nolte, Annika and Nölte, Manfred and Nozik, Alexandra and Opätz, Finn and Petersmann, Astrid and Pigeot, Iris and Riefler, Norbert and Scharpenberg, Martin and Schmitt, Tina and Seemann, Wilken and Spiegler, Andreas and Steinmann, Lena and Strodthoff, Nils and Swirski, Sebastian and Thiemann, Volker and Uppenkamp, Stefan and Vehlken, Sebastian and Wilken, Marc and Wulff, Antje and Bibliotheks- und Informationssystem and Carl von Ossietzky Universität Oldenburg and Core Facility Biobank Structure and DATA Team, Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung and Gesellschaft für Biologische Daten e.V. and Göttingen Academy of Sciences and Humanities in Lower Saxony and Hochschule Bremen and Koordinierungszentrum für Klinische Studien (KKS Oldenburg) and Landesbibliothek Oldenburg and PANGAEA, Data Publisher for Earth & Environmental Science and Staats- und Universitätsbibliothek Bremen and University of Bremen""",108,75,539,504,108,75,504,539
https://zenodo.org/records/18712651,"""Fichtmueller, David and Güntsch, Anton and Sauerland, Kristin and Möller, Lars and Luther, Katja and Ernst, Marcus""",31,29,83,83,31,29,83,83
https://zenodo.org/records/18711701,"""Möller, Lars and Ernst, Marcus and Fichtmueller, David and Schindler, Uwe and Pfaff, Claas-Thido and Seifert, Stefan and Fürstenau, Cornelia and Reimer, Lorenz Christian and Witte, Julius F. and Ebeling, Christian""",50,47,88,86,50,47,86,88
https://zenodo.org/records/18694155,"""Ebert, Barbara and Ewert, Frank and Förstner, Konrad U. and Glöckner, Frank Oliver and McHardy, Alice Carolyn and von Rummel, Philipp and von Suchodoletz, Dirk and Weidtkamp-Peters, Stefanie and Ebeling, Mary-Ann and Engel, Judith and Hoffmann, Carsten and Keller, Christin and Lange, Matthias and Magel, Maja and Moore, Josh and Mühlhaus, Timo and Scholz, Uwe and Specka, Xenia and thor Straten, Mattis""",326,278,690,630,326,278,630,690
https://zenodo.org/records/17991208,"""Sauerland, Kristin and Fichtmueller, David and Güntsch, Anton""",27,26,60,60,27,26,60,60
https://zenodo.org/records/17628099,"""Singson, Lea Sophie""",73,62,148,134,73,62,134,148
https://zenodo.org/records/17941146,"""Placke, Manja and Hassenrück, Christiane and Feistel, Susanne and Jürgensmann, Susanne""",105,90,138,127,105,90,127,138
https://zenodo.org/records/17708536,"""Zurowietz, Martin and Stoye, Jens and Nattkemper, Tim W.""",56,51,79,74,56,51,74,79
https://zenodo.org/records/17350117,"""Schellenberger Costa, David""",2094,1950,708,630,567,538,207,219
https://zenodo.org/records/17623082,"""Nozik, Alexandra""",85,63,140,131,85,63,131,140
https://zenodo.org/records/17553558,"""Tschink, Daniel and Kostadinov, Ivaylo""",77,71,98,97,77,71,97,98
https://zenodo.org/records/17582795,"""Fischer, Marlen and Röder, Juliane and Signer, Johannes and Tschink, Daniel and Weibulat, Tanja and Brand, Ortrun""",30,29,151,143,30,29,143,151
https://zenodo.org/records/17549986,"""Jordan, Sabrina""",97,80,114,103,97,80,103,114
https://zenodo.org/records/17427595,"""Kostadinov, Ivaylo and Tschink, Daniel and Linares Gómez, Jimena""",398,331,445,420,167,137,155,171
https://zenodo.org/records/16893040,"""Melzer, Nina and Jahnel, Ricarda Elisabeth and Sarah, Fischer and Holetschek, Jörg""",101,77,120,114,101,77,114,120
https://zenodo.org/records/17303036,"""Scherer, Cédric""",478,432,523,489,135,132,213,234
https://zenodo.org/records/17223681,"""Hemmelskamp-Pfeiffer, Birte and George, Helen Clara and Opätz, Finn""",108,88,118,110,108,88,110,118
https://zenodo.org/records/17174275,"""Hemmelskamp-Pfeiffer, Birte and Gies, Philipp and Nozik, Alexandra and Opätz, Finn and Swirski, Sebastian""",96,83,171,161,96,83,161,171
https://zenodo.org/records/17141044,"""Kostadinov, Ivaylo""",80,67,142,137,80,67,137,142
https://zenodo.org/records/16992978,"""Hartman Scholz, Amber""",40,36,43,43,40,36,43,43
https://zenodo.org/records/16993168,"""Muñoz García, Melania""",142,135,180,178,142,135,178,180
https://zenodo.org/records/17020251,"""Röder, Juliane and Tschink, Daniel and Brand, Ortrun""",159,139,193,189,159,139,189,193
https://zenodo.org/records/16940033,"""Rieken, Marion and Hemmelskamp-Pfeiffer, Birte and Monien, Donata""",103,78,149,142,103,78,142,149
https://zenodo.org/records/16412325,"""Weibulat, Tanja Melanie and Triebel, Dagmar""",128,100,179,161,93,71,122,135
https://zenodo.org/records/15573465,"""Singson, Lea Sophie and Boße, Sophie""",2556,2367,121,114,2556,2367,114,121
https://zenodo.org/records/15641467,"""Röder, Juliane""",1184,964,2015,1933,344,284,386,399
https://zenodo.org/records/15630531,"""Meister, Maria and Steilen, Lena and Feser, Manuel""",127,99,188,174,127,99,174,188
https://zenodo.org/records/15594632,"""Röder, Juliane and Signer, Johannes""",25,25,183,172,25,25,172,183
https://zenodo.org/records/15585748,"""Röder, Juliane and Signer, Johannes and Scherreiks, Pascal and Figueiredo, Ludmilla and Kusch, Erik and Linares Gómez, Jimena and Müller, Wolfgang and Nozik, Alexandra and Schellenberger Costa, David and Scherer, Cédric and Schindler, Uwe and Tschink, Daniel""",957,632,889,789,957,632,789,889
https://zenodo.org/records/15174063,"""Engel, Judith and Linares, Jimena and Kostadinov, Ivaylo""",98,92,166,158,98,92,158,166
https://zenodo.org/records/15125477,"""Ebert, Barbara and Zurowietz, Martin""",184,164,198,187,184,164,187,198
